KPI 指标,值
总得分,58.86
生产效率得分 (40%),19.20
  - 订单完成率 (%),22.58
  - 生产周期效率得分,81.97
  - 设备利用率 (%),30.85
质量与成本得分 (30%),25.16
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),73.09
AGV效率得分 (30%),14.51
  - 充电策略效率 (%),0.00
  - 能效比得分,100.00
  - AGV利用率 (%),27.89
--- 原始数据 ---,---
总订单数,62
已完成订单数,14
总生产成本,$1026.19
物料成本,$540.00
能源成本,$446.19
维修成本,$40.00
报废成本,$0.00
