KPI 指标,值
总得分,61.84
生产效率得分 (40%),21.29
  - 订单完成率 (%),19.64
  - 生产周期效率得分,100.00
  - 设备利用率 (%),26.87
质量与成本得分 (30%),25.86
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),77.02
AGV效率得分 (30%),14.69
  - 充电策略效率 (%),0.00
  - 能效比得分,100.00
  - AGV利用率 (%),29.86
--- 原始数据 ---,---
总订单数,56
已完成订单数,11
总生产成本,$941.30
物料成本,$580.00
能源成本,$361.30
维修成本,$0.00
报废成本,$0.00
