KPI 指标,值
总得分,56.00
生产效率得分 (40%),16.43
  - 订单完成率 (%),17.95
  - 生产周期效率得分,67.57
  - 设备利用率 (%),34.31
质量与成本得分 (30%),25.19
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),73.30
AGV效率得分 (30%),14.38
  - 充电策略效率 (%),0.00
  - 能效比得分,100.00
  - AGV利用率 (%),26.44
--- 原始数据 ---,---
总订单数,78
已完成订单数,14
总生产成本,$1159.67
物料成本,$535.00
能源成本,$584.67
维修成本,$40.00
报废成本,$0.00
