KPI 指标,值
总得分,56.35
生产效率得分 (40%),16.42
  - 订单完成率 (%),12.96
  - 生产周期效率得分,78.74
  - 设备利用率 (%),21.90
质量与成本得分 (30%),25.10
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),72.76
AGV效率得分 (30%),14.83
  - 充电策略效率 (%),0.00
  - 能效比得分,100.00
  - AGV利用率 (%),31.42
--- 原始数据 ---,---
总订单数,54
已完成订单数,7
总生产成本,$652.86
物料成本,$365.00
能源成本,$287.86
维修成本,$0.00
报废成本,$0.00
