KPI 指标,值
总得分,50.57
生产效率得分 (40%),8.78
  - 订单完成率 (%),3.70
  - 生产周期效率得分,43.67
  - 设备利用率 (%),14.97
质量与成本得分 (30%),18.25
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),34.70
AGV效率得分 (30%),23.54
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),28.26
--- 原始数据 ---,---
总订单数,108
已完成订单数,4
总生产成本,$1152.62
物料成本,$695.00
能源成本,$385.62
维修成本,$72.00
报废成本,$0.00
