KPI 指标,值
总得分,52.04
生产效率得分 (40%),8.14
  - 订单完成率 (%),0.00
  - 生产周期效率得分,40.82
  - 设备利用率 (%),20.14
质量与成本得分 (30%),18.12
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),34.02
AGV效率得分 (30%),25.78
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),53.10
--- 原始数据 ---,---
总订单数,16
已完成订单数,0
总生产成本,$220.47
物料成本,$120.00
能源成本,$100.47
维修成本,$0.00
报废成本,$0.00
