KPI 指标,值
总得分,43.43
生产效率得分 (40%),1.73
  - 订单完成率 (%),1.61
  - 生产周期效率得分,5.66
  - 设备利用率 (%),7.08
质量与成本得分 (30%),19.46
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),41.44
AGV效率得分 (30%),22.24
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),13.81
--- 原始数据 ---,---
总订单数,62
已完成订单数,1
总生产成本,$180.98
物料成本,$70.00
能源成本,$78.98
维修成本,$32.00
报废成本,$0.00
