KPI 指标,值
总得分,62.82
生产效率得分 (40%),13.83
  - 订单完成率 (%),8.70
  - 生产周期效率得分,69.44
  - 设备利用率 (%),16.62
质量与成本得分 (30%),24.37
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),68.70
AGV效率得分 (30%),24.62
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),40.24
--- 原始数据 ---,---
总订单数,46
已完成订单数,4
总生产成本,$436.68
物料成本,$200.00
能源成本,$220.68
维修成本,$16.00
报废成本,$0.00
