KPI 指标,值
总得分,60.59
生产效率得分 (40%),12.58
  - 订单完成率 (%),7.84
  - 生产周期效率得分,63.29
  - 设备利用率 (%),14.93
质量与成本得分 (30%),24.40
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),68.91
AGV效率得分 (30%),23.61
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),29.04
--- 原始数据 ---,---
总订单数,204
已完成订单数,16
总生产成本,$1958.95
物料成本,$980.00
能源成本,$842.95
维修成本,$136.00
报废成本,$0.00
