KPI 指标,值
总得分,57.16
生产效率得分 (40%),11.34
  - 订单完成率 (%),10.64
  - 生产周期效率得分,53.19
  - 设备利用率 (%),14.03
质量与成本得分 (30%),21.70
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),53.87
AGV效率得分 (30%),24.13
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),34.74
--- 原始数据 ---,---
总订单数,94
已完成订单数,10
总生产成本,$974.48
物料成本,$490.00
能源成本,$412.48
维修成本,$72.00
报废成本,$0.00
