KPI 指标,值
总得分,58.06
生产效率得分 (40%),12.57
  - 订单完成率 (%),9.09
  - 生产周期效率得分,61.73
  - 设备利用率 (%),15.53
质量与成本得分 (30%),22.59
  - 一次通过率 (%),90.91
  - 成本效率得分 (估算),64.90
AGV效率得分 (30%),22.90
  - 充电策略效率 (%),80.00
  - 能效比得分,100.00
  - AGV利用率 (%),41.06
--- 原始数据 ---,---
总订单数,44
已完成订单数,4
总生产成本,$423.72
物料成本,$190.00
能源成本,$197.72
维修成本,$24.00
报废成本,$12.00
