KPI 指标,值
总得分,64.94
生产效率得分 (40%),22.90
  - 订单完成率 (%),27.08
  - 生产周期效率得分,100.00
  - 设备利用率 (%),32.03
质量与成本得分 (30%),26.72
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),81.77
AGV效率得分 (30%),15.32
  - 充电策略效率 (%),0.00
  - 能效比得分,100.00
  - AGV利用率 (%),36.92
--- 原始数据 ---,---
总订单数,48
已完成订单数,13
总生产成本,$917.17
物料成本,$555.00
能源成本,$362.17
维修成本,$0.00
报废成本,$0.00
