KPI 指标,值
总得分,28.73
生产效率得分 (40%),1.56
  - 订单完成率 (%),0.00
  - 生产周期效率得分,0.00
  - 设备利用率 (%),19.50
质量与成本得分 (30%),0.00
  - 一次通过率 (%),0.00
  - 成本效率得分 (估算),0.00
AGV效率得分 (30%),27.17
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),68.60
--- 原始数据 ---,---
总订单数,10
已完成订单数,0
总生产成本,$119.19
物料成本,$70.00
能源成本,$49.19
维修成本,$0.00
报废成本,$0.00
