KPI 指标,值
总得分,3.28
生产效率得分 (40%),0.60
  - 订单完成率 (%),0.00
  - 生产周期效率得分,0.00
  - 设备利用率 (%),7.46
质量与成本得分 (30%),0.00
  - 一次通过率 (%),0.00
  - 成本效率得分 (估算),0.00
AGV效率得分 (30%),2.68
  - 充电策略效率 (%),0.00
  - 能效比得分,0.00
  - AGV利用率 (%),29.83
--- 原始数据 ---,---
总订单数,6
已完成订单数,0
总生产成本,$5.37
物料成本,$0.00
能源成本,$5.37
维修成本,$0.00
报废成本,$0.00
