KPI 指标,值
总得分,61.48
生产效率得分 (40%),13.52
  - 订单完成率 (%),15.22
  - 生产周期效率得分,57.14
  - 设备利用率 (%),24.31
质量与成本得分 (30%),23.74
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),65.24
AGV效率得分 (30%),24.21
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),35.68
--- 原始数据 ---,---
总订单数,92
已完成订单数,14
总生产成本,$1187.99
物料成本,$475.00
能源成本,$648.99
维修成本,$64.00
报废成本,$0.00
