KPI 指标,值
总得分,73.16
生产效率得分 (40%),21.25
  - 订单完成率 (%),21.74
  - 生产周期效率得分,100.00
  - 设备利用率 (%),22.13
质量与成本得分 (30%),25.76
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),76.44
AGV效率得分 (30%),26.15
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),57.25
--- 原始数据 ---,---
总订单数,46
已完成订单数,10
总生产成本,$654.07
物料成本,$315.00
能源成本,$323.07
维修成本,$16.00
报废成本,$0.00
