KPI 指标,值
总得分,65.18
生产效率得分 (40%),14.93
  - 订单完成率 (%),14.52
  - 生产周期效率得分,69.93
  - 设备利用率 (%),17.70
质量与成本得分 (30%),25.52
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),75.12
AGV效率得分 (30%),24.73
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),41.43
--- 原始数据 ---,---
总订单数,62
已完成订单数,9
总生产成本,$698.91
物料成本,$345.00
能源成本,$329.91
维修成本,$24.00
报废成本,$0.00
