KPI 指标,值
总得分,50.73
生产效率得分 (40%),6.88
  - 订单完成率 (%),4.82
  - 生产周期效率得分,33.11
  - 设备利用率 (%),10.13
质量与成本得分 (30%),21.18
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),50.98
AGV效率得分 (30%),22.67
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),18.56
--- 原始数据 ---,---
总订单数,166
已完成订单数,8
总生产成本,$980.72
物料成本,$495.00
能源成本,$381.72
维修成本,$104.00
报废成本,$0.00
