KPI 指标,值
总得分,60.38
生产效率得分 (40%),11.44
  - 订单完成率 (%),11.36
  - 生产周期效率得分,50.51
  - 设备利用率 (%),19.29
质量与成本得分 (30%),24.17
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),67.61
AGV效率得分 (30%),24.77
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),41.92
--- 原始数据 ---,---
总订单数,88
已完成订单数,11
总生产成本,$1109.31
物料成本,$590.00
能源成本,$487.31
维修成本,$32.00
报废成本,$0.00
