KPI 指标,值
总得分,51.22
生产效率得分 (40%),12.94
  - 订单完成率 (%),11.00
  - 生产周期效率得分,56.82
  - 设备利用率 (%),26.09
质量与成本得分 (30%),24.49
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),69.42
AGV效率得分 (30%),13.79
  - 充电策略效率 (%),0.00
  - 能效比得分,100.00
  - AGV利用率 (%),19.90
--- 原始数据 ---,---
总订单数,100
已完成订单数,11
总生产成本,$1116.46
物料成本,$560.00
能源成本,$484.46
维修成本,$72.00
报废成本,$0.00
