KPI 指标,值
总得分,60.71
生产效率得分 (40%),18.91
  - 订单完成率 (%),13.46
  - 生产周期效率得分,89.29
  - 设备利用率 (%),30.92
质量与成本得分 (30%),26.79
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),82.17
AGV效率得分 (30%),15.01
  - 充电策略效率 (%),0.00
  - 能效比得分,100.00
  - AGV利用率 (%),33.43
--- 原始数据 ---,---
总订单数,52
已完成订单数,7
总生产成本,$943.21
物料成本,$575.00
能源成本,$368.21
维修成本,$0.00
报废成本,$0.00
