KPI 指标,值
总得分,59.67
生产效率得分 (40%),13.30
  - 订单完成率 (%),7.69
  - 生产周期效率得分,67.11
  - 设备利用率 (%),16.59
质量与成本得分 (30%),21.98
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),55.44
AGV效率得分 (30%),24.39
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),37.67
--- 原始数据 ---,---
总订单数,78
已完成订单数,6
总生产成本,$901.84
物料成本,$475.00
能源成本,$378.84
维修成本,$48.00
报废成本,$0.00
