KPI 指标,值
总得分,63.25
生产效率得分 (40%),15.03
  - 订单完成率 (%),7.14
  - 生产周期效率得分,78.12
  - 设备利用率 (%),17.34
质量与成本得分 (30%),23.97
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),66.49
AGV效率得分 (30%),24.26
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),36.17
--- 原始数据 ---,---
总订单数,70
已完成订单数,5
总生产成本,$789.57
物料成本,$400.00
能源成本,$349.57
维修成本,$40.00
报废成本,$0.00
