KPI 指标,值
总得分,60.24
生产效率得分 (40%),13.23
  - 订单完成率 (%),5.56
  - 生产周期效率得分,65.79
  - 设备利用率 (%),22.67
质量与成本得分 (30%),21.97
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),55.39
AGV效率得分 (30%),25.04
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),44.86
--- 原始数据 ---,---
总订单数,18
已完成订单数,1
总生产成本,$225.69
物料成本,$115.00
能源成本,$110.69
维修成本,$0.00
报废成本,$0.00
