KPI 指标,值
总得分,64.73
生产效率得分 (40%),12.64
  - 订单完成率 (%),15.28
  - 生产周期效率得分,52.08
  - 设备利用率 (%),23.25
质量与成本得分 (30%),25.75
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),76.39
AGV效率得分 (30%),26.34
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),59.36
--- 原始数据 ---,---
总订单数,72
已完成订单数,11
总生产成本,$1145.44
物料成本,$565.00
能源成本,$548.44
维修成本,$32.00
报废成本,$0.00
