KPI 指标,值
总得分,60.56
生产效率得分 (40%),12.43
  - 订单完成率 (%),8.47
  - 生产周期效率得分,61.73
  - 设备利用率 (%),15.02
质量与成本得分 (30%),24.10
  - 一次通过率 (%),100.00
  - 成本效率得分 (估算),67.22
AGV效率得分 (30%),24.02
  - 充电策略效率 (%),100.00
  - 能效比得分,100.00
  - AGV利用率 (%),33.59
--- 原始数据 ---,---
总订单数,118
已完成订单数,10
总生产成本,$1190.19
物料成本,$595.00
能源成本,$515.19
维修成本,$80.00
报废成本,$0.00
